"question_id","answer","description","option1","option2","option3","option4"
"236","2","哪个美国总统提出将星条旗永不落作为国歌？","麦迪逊","威尔逊","林肯","门罗"
"237","3","哪个部位是最易出现皱纹的地方？","足部","脸部","眼部","手部"
"238","2","哪个非金属不是绝缘体？","锡","石墨","铜","铝"
"239","3","哪个音乐家有“乐圣”之称?","巴赫","舒伯特","贝多芬","莫扎特"
"240","1","“萨拉热窝事件”是第一次世界大战的导火线，它发生在？","1914年","1915年","1916年","1917年"
"241","1","哪个音乐家有歌曲王之称?","舒伯特","贝多芬","莫扎特","巴赫"
"242","2","哪个音乐家有音乐神通之称?","巴赫","莫扎特","舒伯特","贝多芬"
"243","3","哪个风景区在北京？","泰山","西湖","八达岭","太湖"
"244","1","哪个高原面积占中国总面积的四分之一？","青藏高原","内蒙古高原","黄土高原","云贵高原"
"245","1","哪个鱼没有鱼鳞？","九肚鱼","鳊鱼","草鱼","鲢鱼"
"246","4","哪种鸟类是不筑巢不育雏的?","画眉","鹦鹉","喜鹊","杜鹃"
"247","4","哪些人忌吃鸡蛋？","肠胃炎","肝脏病","心脏病","腹泻"
"248","2","江西的省会城市是哪里？","九江","南昌","赣州","乐平"
"249","3","下列哪些元素属于金属元素？","钙","钠","铝","钾"
"250","1","下列哪些元素属于非金属元素？","氦","氢","氧","氟"
"251","2","科学技术是第一生产力是由谁提出来的？","江泽民","邓小平","毛泽东","周恩来"
"252","3","哪些病人需要忌盐？","心脏病","肺炎","肾炎","肝炎"
"253","4","哪位人物拥有无字碑？","慈禧太后","唐太宗","明太祖","武则天"
"254","4","哪位人物的字是永叔？","苏轼","李白","王安石","欧阳修"
"255","2","哪位古代科学家发明了“混天仪”来预测地震？","李治","张衡","莘七娘","蔡伦"
"256","1","惠山在哪个城市？","无锡","苏州","淮阳","潍坊"
"257","3","《自京赴奉先县咏怀五百字》是哪位诗人的名作？","李白","白居易","杜甫","杜牧"
"258","3","哪种味道并非由味觉细胞所感受？","苦","甜","辣","酸"
"259","4","哪位唐代诗人被后人称为“鬼才”？","李白","杜甫","杜牧","李贺"
"260","2","哪位太平天国的将领战死在大渡河？","洪仁干","石达开","陈玉成","李秀成"
"261","4","被称为“雷城”的是哪个国家的哪个城市？","中国雷州","英国伦敦","德国伊斯坦丁堡","印度尼西亚茂物"
"262","4","哪位画家发表了“现实主义宣言”？","徐悲鸿","张大千","齐白石","库尔贝"
"263","3","哪位科学家发明了留声机？","牛顿","伽利略","爱迪生","爱因斯坦"
"264","3","哪位科学家被公认为是“力学之父”？","爱因斯坦","伽利略","牛顿","爱迪生"
"265","2","哪位科幻作家被称为中国科幻之父？","吴岩","郑文光","柳文扬","李健敏"
"266","1","哪位美国华裔男子网球手曾经赢得法国公开赛？","张德培","朱本强","张泽","王钰"
"267","4","全能比赛是田径比赛中对运动员要求最高的项目，女子为七项，男子为十项，你知道七项全能包括100米栏，跳高，200米，标枪，跳远，800米和_________？","1500米","标枪","网球","铅球"
"268","4","哪位著名音乐家被称为“交响乐之父”？","贝多芬","舒马赫","莫扎特","海顿"
"269","4","哪位被称为王荆公？","王羲之","王献之","王莽","王安石"
"270","4","哪位诗人有“诗佛”之称？","李白","杜甫","苏轼","王维"
"271","3","哪位诗人被誉为中国山水诗的鼻祖？","杜甫","王维","谢灵运","李白"
"272","2","世界第一长河是？","印度河","尼罗河","黄河","多瑙河"
"273","3","在食品旁边，或在肉上放一些什么，苍蝇就不会爬上去？","生姜","八角","花椒","大蒜"
"274","2","哪支球队在中国足球联赛中获得过双冠王？","深圳健力宝","山东鲁能","上海申花","武汉光谷"
"275","4","哪吒的故乡陈塘关是现在的____","关东","嘉义","泉州","宜宾"
"276","3","哪国人发明了望远镜？","芬兰","法国","荷兰","挪威"
"277","3","哪国人最先制作出了牛奶巧克力？","英国","美国","法国","德国"
"278","3","诸子百家中对认识论、逻辑学、几何学、力学、光学等都一定贡献的是？","法家","儒家","墨家","道家"
"279","1","哪国选手创造的历史上第一个10000米跑的世界纪录？","法国","德国","中国","英国"
"280","3","哪场战役使希特勒失去了大西洋的控制权？","太平洋战役","珍珠港战役","大西洋战役","诺曼地战役"
"281","1","哪天称为日本投降日？","8月15日","8月16日","8月17日","8月18日"
"282","2","哪种地表特征反射太阳能最强？","沙漠","雪","雨","矿产"
"283","4","哪种地貌被称作“地球之肾”？","沙漠","绿洲","盆地","湿地"
"284","3","哪种天体的引力能够引起潮汐？","金星","火星","月球","太阳"
"285","1","哪种天体的运行轨道在火星和木星之间？","小行星带","银河星带","大行星带","彗星带"
"286","4","国土面积最大的国家是哪国?","中国","美国","英国","俄罗斯"
"287","1","哪种岩层可找到化石？","沉积岩","变质岩","气泡岩","熔浆岩"
"288","2","哪种恐龙属食草性？","锡龙","剑龙","雷龙","速龙"
"289","2","哪种昆虫的血压和人一样高？","蜻蜓","蜘蛛","蜜蜂","蝴蝶"
"290","1","发烧时不宜喝什么饮料？","浓茶","果汁","咖啡","酒"
"291","3","哪种是可再生资源？","原子能","碳能","潮汐能","水能"
"292","4","猪心情很好时尾巴会呈什么形状？","圈起来","向上翘起","向下低垂","水平摆动"
"293","3","哪座佛教名山相传为观音菩萨的道场____","九华山","峨眉山","普陀山","五台山"
"294","1","哪座城市是台湾第一大城市?","台北市","台南市","新竹市","高雄市"
"295","4","世界上最大的群岛国家是？","马德拉群岛","布里俄尼群岛","马绍尔群岛","印度尼西亚"
"296","4","哪座山峰被称为“欧洲的屋脊”？","阿尔卑斯山","大高加索山","少女峰","勃朗峰"
"297","4","哪座山是香港最高的山?","大屿山","九华山","普陀山","大帽山"
"298","3","哪座港口是台湾第一大港口?","陵南港","日月港","高雄港","新竹港"
"299","4","哪座纵贯南北的山脉为台湾的分水岭？","日月山脉","高雄山脉","大岛山脉","中央山脉"
"300","4","中国第一套销量超过100万套的国产软件是？","瑞星","江民","诺顿","金山毒霸"
"301","3","哪个朝代的帝王姓爱新觉罗？","宋","唐","清","明"
"302","4","哪本不是古龙的作品？","苍穹神剑","多情剑客无情剑","绝代双骄","牧野流星"
"303","4","哪本中国古典名著中出现了一百零八条好汉？","《红楼梦》","《三国演义》","《西游记》","《水浒传》"
"304","1","哪本是大仲马的作品？","《基度山伯爵》","《茶花女》","《马尔戈王后》","《三个火枪手》"
"305","1","哪本是马克思的著作？","《资本论》","《黑格尔法哲学批判》","《德意志意识形态》","《经济学哲学》"
"306","2","哪本著作不是“四书”之一？","《孔子》","《庄子》","《论语》","《老子》"
"307","3","哪条河拥有“东方多瑙河”的美称?","长江","淮河","湄公河","黄河"
"308","1","哪根手指的指甲长得最快？","中指","食指","大拇指","小拇指"
"309","4","哪次战役奠定了曹操统一北方的基础?","赤壁战役","彝陵之战","逍遥津之战","官渡之战"
"310","2","哪次战役是太平洋战场的转折点?","珍珠港战役","中途岛海战","诺曼地战役","地中海战役"
"311","3","哪种不是游泳比赛中的泳式？","仰泳式","潜泳式","狗仔式","蝶泳式"
"312","1","哪种不是铜乐器？","伸缩号","大提琴","长号","短号"
"313","4","中国第一个朝代是那个朝？","商","周","秦","夏"
"314","4","诗佛是指谁？","李白","杜甫","李贺","王维"
"315","3","哪种东西不可食用？","泡面","肉包","观音土","八宝饭"
"316","2","哪种乐器被称为西洋乐器之后?","长号","小提琴","钢琴","萨克士风"
"317","3","哪种乐曲形式是富于戏剧性的大型管弦乐套曲？","民乐","打击乐","交响乐","管玄月"
"318","3","哪种元素在地壳中含量最高？","碳","氢","氧","氟"
"319","3","哪种元素放在冷水中会爆炸？","锌","硒","钙","铁"
"320","4","哪种元素最活跃？","铁","锌","硒","钙"
"321","3","哪种动物不属于候鸟?","大雁","燕子","麻雀","喜鹊"
"322","1","哪种动物在印度忌食，因其被认为是神圣的东西？","牛","马","猪","羊"
"323","4","南方产量最大，分布最广的水果是？","苹果","橙子","菠萝","柑橘"
"324","4","哪一种动物是软体动物？","青蛙","竹节虫","乌龟","蜗牛"
"325","2","哪一种动物的眼睛会一天三变？","乌龟","猫","狗","变色龙"
"326","2","哪一种动物被称为“沙漠之舟”？","牦牛","骆驼","鳄鱼","马"
"327","3","哪一年建立的上海证券交易所？","2000年","2008年","1990年","1995年"
"328","1","哪一年建立的深圳证券交易所？","1991年","1992年","1993年","1994年"
"329","4","哪一年新疆回民在陕甘回民反清斗争的影响下爆发了大规模的反清斗争？","1866年","1868年","1870年","1864年"
"330","3","哪一年沙俄出兵占领伊犁地区？","1873年","1874年","1871年","1872年"
"331","1","哪一年清政府与俄国签订了《北京条约》？","1860年","1870年","1880年","1890年"
"332","1","哪一年签定再保条约？","1887年","1888年","1889年","1890年"
"333","3","恐龙世界的短跑冠军是什么龙？","速龙","雷龙","鸵鸟龙","霸王龙"
"334","1","太阳到地球之间的距离？","15,000万公里","30，000万公里","40，000万公里","50，000万公里"
"335","2","以下哪个星座最靠近银河系的中心？","巨蟹座","天蝎座","双鱼座","狮子座"
"336","4","霸王龙生活在哪个时期？","冰河纪","玄武纪","侏罗纪","白垩纪"
"337","2","可可的种子生命最短，采摘后只能存活_____","35天","35小时","35分钟","35秒"
"338","1","世界第一长山脉是_____","安第斯山脉","喜马拉雅山脉","阿尔卑斯山脉","乌拉尔山脉"
"339","3","我国入世共谈了几年？","8年","20年","15年","5年"
"340","4","塞万提斯是哪国人？","西班牙","葡萄牙","法国","荷兰"
"341","2","解放战争初期山东战场的领导人是谁？","叶剑英","刘伯承","毛泽东","林彪"
"342","4","不是沿海的省是哪一个？","辽宁","江苏","附件","河南"
"343","2","圆舞曲起源于哪个国家？","法国","奥地利","匈牙利","意大利"
"344","3","西安事变发生在哪一年？","1931年","1940年","1936年","1945年"
"345","3","人体有多少块骨骼？","210","201","206","205"
"346","3","国际刑警组织所在地在哪个城市？","俄罗斯莫斯科","德国慕尼黑","法国里昂","英国伦敦"
"347","3","连续7个月最多有多少天？","210天","220天","215天","213天"
"348","1","济慈的《夜莺颂》共有","80行","40行","100行","200行"
"349","4","世界上最大的鸟是？","孔雀","大雁","企鹅","鸵鸟"
"350","4","“山重水复疑无路，柳暗花明又一村”是谁写的？","苏轼","欧阳修","李白","陆游"
"351","2","北宋是中国历史上以汉族为主体建立的封建王朝，建都_____","西安","开封","北京","南京"
"352","3","目前我国符合条件的失业人员领取失业保险金的最长期限为？","6个月","36个月","24个月","12个月"
"353","4","白头鹰是哪国的国鸟？","加拿大","英国","俄罗斯","美国"
"354","1","在地面上，普通人若不运动，每天至少需要多少水？","1公升","500毫升","3公升","2公升"
"355","3","我国古代哪位文学家曾两度到杭州做官？","欧阳修","李白","苏轼","苏东坡"
"356","3","现代足球运动的发源地是哪个国家？","德国","法国","英国","美国"
"357","1","最先发现石油的国家是哪个？","中国","俄罗斯","美国","英国"
"358","4","下面不是我国古代的四大美女的是_____","貂蝉","西施","杨玉环","赵飞燕"
"359","2","引起中毒的“煤气”中重要的有毒气体是?","氮气","一氧化碳","二氧化碳","氢气"
"360","3","2002年12月30日，由中国和哪国合建的磁浮列车在上海试运行?","日本","美国","德国","法国"
"361","2","超音速飞机“协和”是法国和哪个国家合作生产？","俄罗斯","英国","美国","德国"
"362","1","中国现存最古老的藏书阁在哪里？","宁波","上海","开封","西安"
"363","4","在我国北方四季常青的树是什么？","杨树","柏树","白蜡树","松树"
"364","4","阿拉伯人属于______","黑种人","黄种人","棕种人","白种人"
"365","4","澳大利亚的首都是哪个？","悉尼","纽约","伦敦","堪培拉"
"366","4","以下几个人体部份中，最早容易衷老的是？","皮肤","肌肉","心脏","骨胳"
"367","3","世界上最大的沙岛是_____","夏威夷岛","格陵兰岛","崇明岛","海南岛"
"368","1","《望夫云》是我国哪个民族的民间传说?","白族","彝族","满族","蒙古族"
"369","2","埃及艳后克莉奥佩脱拉是哪个国家的人？","意大利","希腊","埃及","伊朗"
"370","2","湖南湖北的“湖”是指_____","鄱阳湖","洞庭湖","太湖","洪泽湖"
"371","4","名画家“八大山人”是哪一时期的人物？","宋","元","明","清"
"372","2","世界上第一座核电站是哪个国家建成的？","法国","前苏联","美国","英国"
"373","2","目前已成为上海新的金融中心，工业中心和居住地的是？","崇明","浦东","浦西","黄埔"
"374","2","“三过家门而不人”是哪一历史人物的故事？","黄帝","禹","舜","尧"
"375","2","以下哪只球队没有进入2002年韩日世界杯？","中国","荷兰","巴西","意大利"
"376","3","正月初一吃饺子这一习俗从哪个朝代开始？","唐代","宋代","明代","清代"
"377","1","一个正规的羽毛球上应有多少根羽毛？","16","12","20","8"
"378","3","有赌城之称的是哪个城市？","纽约","伦敦","拉斯维加斯","东京"
"379","2","“生命诚宝贵，爱情价更高”的作者裴多菲是哪国人？","西班牙","匈牙利","奥地利","意大利"
"380","4","《醉花阴》“东蓠把酒黄昏后，有暗香盈袖，莫道不消魂，帘卷西风，人比黄花瘦。”是谁所作？","苏轼","欧阳修","辛弃疾","李清照"
"381","2","人类第一次发现南极上空出现臭氧空洞的时间是？","1965年","1985年","1995年","1975年"
"382","3","请问苏联是在什么时候解体的？","1989年12月","1990年12月","1991年12月","1993年12月"
"383","1","成吉思汗病逝于哪一年？","1227年","1127年","1327年","997年"
"384","4","明孝陵位于哪个地方？","北京","开封","西安","南京"
"385","4","日本最大港口是？","横滨","名古屋","东京","横滨"
"386","2","亚洲耕地面积最大的国家是？","日本","印度","中国","马来西亚"
"387","1","下列不是中国四大佛山的是？","嵩山","五台山","峨眉山","普陀山"
"388","2","四大碑林中的“陕西西安碑林”有多少碑石？","500多块","11700多块","1000多块","300000多块"
"389","2","下列典籍中不属于“四书”之中的是？","论语","墨子","大学","孟子"
"390","1","罗丹是伟大的_____","雕塑家","音乐家","作曲家","作家"
"391","3","哪个国家被称为咖啡之国?","美国","智利","巴西","印度"
"392","2","被称为“一夫当关，万夫莫开”的雁门关在_____","河北","山西","辽宁","内蒙古"
"393","3","鲁迅誉为“史家之绝唱，无韵之《离骚》”的著作是_____","《水浒传》","《西游记》","《儒林外史》","《三国演义》"
"394","3","人的心脏中心房和心室共有几个？","5个","6个","4个","3个"
"395","3","下面哪个国家不属于联合国安理会常任理事国？","美国","英国","德国","中国"
"396","1","中国历吏上第一个夺得奥运会金牌的运动员是？","许海峰","李宁","邓亚萍","刘国梁"
"397","1","哪个国家被称为花园之国?","新加坡","印度","新西兰","瑞士"
"398","3","下列国家煤、石油和铁矿都很丰富的是？","韩国","越南","中国","日本"
"399","4","被称为“活化石”的爬行动物是？","海龟","青蛙","蜥蜴","扬子鳄"
"400","2","女扮男装，替父从军的花木兰居于哪省？","湖北省","河南省","河北省","陕西省"
"401","3","《西厢记》的作者是？","柳宗元","韩愈","王实甫","陶渊明"
"402","4","法定节假日安排劳动者工作的，报酬不得低于工资的_____","1倍","10倍","5倍","3倍"
"403","2","世界第一大内流河是_____","尼罗河","伏尔加河","塔里木河","长江"
"404","2","开国大典时共放了多礼炮？","24","28","36","16"
"405","4","护士节为哪一天？","5月12日","6月1日","7月7日","10月1日"
"406","4","含维生素A最多的是?","牛肉","鸡肉","猪血","猪肝"
"407","2","郑和下西洋经过哪个地方？","英国","越南","日本","美国"
"408","4","冰球运动起源于_____","新西兰","冰岛","挪威","加拿大"
"409","4","古代著名的水利工程都江堰是谁设计的?","张衡","祖冲之","沈括","李冰"
"410","4","《全唐诗》是哪个时期的人编辑的？","元朝","明朝","宋朝","清朝"
"411","3","下面哪一位不是“唐宋八大家”?","欧阳修","柳宗元","范仲淹","苏轼"
"412","2","哪个不是法家的代表？","邓析","吕不韦","李斯","管仲"
"413","3","太阳系九大行星中，卫星数量仅次于土星的是_____","火星","地球","木星","水星"
"414","1","超市中可以买到不淘米，用它煮饭能防止下列哪一种营养成分的流失？","维生素B1","维生素A","维生素C","维生素E"
"415","4","下面哪个不是西安名胜？","华清池","兵马俑","大清真寺","普觉寺"
"416","3","世界上面积最大的淡水湖是？","密歇根湖","洞庭湖","苏必利尔湖","太湖"
"417","2","中国古代曾有多次的焚书事件，下列帝王焚书最多的是？","顺治","乾隆","康熙","雍正"
"418","4","被洪秀全封为“北王”的是？","萧朝贵","冯云山","石达开","韦昌辉"
"419","4","中国虽然不是双姓大国，但还是有不少双姓，请问以下哪个不是双姓？","欧阳","司徒","公孙","三台"
"420","2","被称为“诗仙”的中国诗人是？","欧阳修","李白","苏轼","白居易"
"421","2","中国稀土谷是哪里？","呼和浩特","包头","锡林浩特","乌鲁木齐"
"422","1","京剧是在何时形成的？","清朝","明朝","宋朝","元朝"
"423","4","郑成功收复台湾是在哪一年？","1538年","1840年","1690年","1662年"
"424","1","太阳系中体积最大的行星是哪个？","木星","水星","火星","地球"
"425","3","下列蔬菜中富含铁质营养的是？","芹菜","茼蒿","菠菜","油菜"
"426","1","美国第十六任总统是谁？","林肯","布什","罗斯福","华盛顿"
"427","2","以下哪个行星带有光环？","火星","土星","地球","水星"
"428","4","我国的中央银行是哪一个银行？","中国农业银行","中国建设银行","中国工商银行","中国人民银行"
"429","1","音乐城在哪个国家？","奥地利","意大利","法国","西班牙"
"430","2","宇航员在宇宙空间看到的地球颜色主要是_____","绿色","蓝色","黑色","白色"
"431","1","吉他有几根弦?","6根","5根","4根","7根"
"432","3","卢浮宫外广场上现代建筑金字塔是用什么制成的？","铁","铜","玻璃","金"
"433","1","世界上平均海拔最高的大洲是哪个大洲？","南极洲","南美洲","欧洲","非洲"
"434","3","桃园三结义的桃园是在谁的土地上？","刘备","曹操","张飞","关羽"
"435","2","香港组合BEYOND的主唱,黄家驹因故死于_____","1988年","1993年","2003年","1998年"
"436","4","下面哪一个不是成语“五毒俱全”的五毒?","蝎","蛇","蜈蚣","蜘蛛"
"437","4","印度妇女额上点红印是在结婚当天由谁用朱砂粉按上的？","父亲","母亲","女儿","丈夫"
"438","4","中国旅游涉外星级酒店中最高档的酒店是几颗星？","六颗","四颗","七颗","五颗"
"439","2","电报最早起源于_____","日本","美国","英国","德国"
"440","4","世界上最大的岛属于哪个国家？","挪威","加拿大","美国","丹麦"
"441","4","1月1日这一天出生的人属于_____","水瓶座","金牛座","双鱼座","摩羯座"
"442","4","哪个中国音乐家有人民音乐家之称？","李叔同","聂耳","贺绿汀","冼星海"
"443","3","最早的阿拉伯数字有几个？","11个","8个","10个","9个"
"444","4","被誉为中国海洋城的城市是？","广州","大连","上海","青岛"
"445","4","国产名酒具有特殊香味，著名的茅台酒属于下列哪种香型？","米香型","清香型","浓香型","酱香型"
"446","3","月球上的“海”实际上是?","高原","山丘","洼地","平原"
"447","2","科学家将生物发展的进程划分为几个代？","10个代","5个代","3个代","8个代"
"448","1","小提琴协奏曲《梁山泊与祝英台》是以哪一种戏剧唱腔为写作素材的？","越剧","京剧","黄梅戏","昆曲"
"449","2","历史上曾有的“风声雨声读书声声声入耳，家事国事天下事事事关心”对联是在_____","应天府书院","东林书院","岳麓书院","白鹿洞书院"
"450","3","下面不是标准计量单位的是？","克","吨","斤","千克"
"451","2","不属于“四大西式快餐”的一项是哪一项？","汉堡包","麦当劳","汉堡包","热狗"
"452","1","现在我国实行九年义务教育，那么义务教育起源于_____","德国","美国","英国","日本"
"453","3","海豚是小型鲸类，人们习惯上将身长多少米作为鲸、豚的分界线？该身长以上的称为鲸，该米以下的称为豚?","3米","8米","5米","10米"
"454","3","下列哪一部作品不属于莎士比亚的“四大悲剧“？","《李尔王》","《哈姆莱特》","《罗密欧与朱丽叶》","《奥瑟罗》"
"455","1","世界上第一条用于商业运作的磁悬浮列车在哪个城市建成？","上海","广州","东京","纽约"
"456","1","正常成人体液约占机体总重量的？","60%","80%","20%","40%"
"457","3","98年世界杯谁是冠军？","巴西","英国","法国","意大利"
"458","1","哪个作家塑造了唐吉诃德这个形象?","塞万提斯","大仲马","小仲马","杰克.伦敦"
"459","1","哪个军阀控制江苏、江西、湖北地区?","直系","皖系","奉系","桂系"
"460","3","哪个半岛以出产石油著称？","巴尔干半岛","马来半岛","阿拉伯半岛","东南半岛"
"461","3","哪个国家不在巴尔干半岛上?","希腊","阿尔巴尼亚","意大利","保加利亚"
"462","4","哪个国家不是位于南美洲？","巴西","智利","乌拉圭","塞浦路斯"
"463","3","哪个国家位于尼罗河下游？","苏丹","尼日利亚","埃及","南非"
"464","3","梁启超和梁思成是什么关系？","朋友","叔侄","父子","兄弟"
"465","4","哪个国家发生地震的可能性最大_____","美国","蒙古","法国","日本"
"466","1","“明月几时有，把酒问青天。”是谁的词？","苏轼","欧阳修","李清照","李白"
"467","2","哪个国家最先完成第一条地下铁路？","日本","英国","美国","法国"
"468","4","哪个国家最早使用十进制计数法？","意大利","埃及","印度","中国"
"469","2","以下哪个NPC不在京城合芳斋里的？","小玲珑","小李探花","小尿布","小香花"
"470","1","锄头是在哪里买的？","杂货店","打铁铺","布店","武器店"
"471","3","游戏中搜索NPC的快捷键是什么？","Shift+J","Alt+Ctrl+J","Alt+J","Ctrl+J"
"472","3","游戏中“同伴”的快捷键是什么？","Ctrl+P","Shift+P","Alt+P","Alt+Ctrl+P"
"473","2","游戏中“宠物”的快捷键是什么？","Shift+O","Alt+O","Alt+Ctrl+O","Ctrl+O"
"474","3","游戏中“商城”的快捷键是什么？","Ctrl+N","Shift+N","Alt+N","Alt+Ctrl+N"
"475","2","游戏中“好友”的快捷键是什么？","Alt+Ctrl+F","Alt+F","Shift+F","Ctrl+F"
"476","2","新创建的角色出生在哪张地图？","无名岛","比武岛","恶人谷","京城"
"477","4","游戏中一共有多少个聊天频道？","5","8","10","7"
"478","4","游戏中一共可以创建几个角色？","2","4","5","3"
"479","4","京城太和殿中的御前侍卫有几个？","9","6","10","8"
"480","4","赵无极在京城的哪座建筑物中？","状元楼","赌场","吉祥客栈","望花楼"
"481","1","灯心草在哪个地图上的药店有卖？","京城的药店","无名岛的药店","龙门的药店","好汉庄的药店"
"482","2","以下哪个NPC不在无名岛上的？","阿莲","卜巨","燕南天","杨开泰"
"483","3","以下哪个小动物是无名岛阿莲丢失的？","小狼","小猪","小兔子","小老虎"
"484","1","在无名岛的无名岩洞中不会遇到以下哪个NPC？","粉燕子","天蚕教徒","杀手书生","黑衣人"
"485","4","以下哪个选项是打开大地图后不能使用的功能？","路线显示","全部显示","地方简介","自动寻路"
"486","3","三七在哪个地图上的药店有卖？","龙门的药店","好汉庄的药店","无名岛的药店","京城的药店"
"487","2","地黄在哪个地图上的药店有卖？","好汉庄的药店","无名岛的药店","京城的药店","龙门的药店"
"488","3","止血草在哪个地图上的药店有卖？","龙门的药店","好汉庄的药店","无名岛的药店","京城的药店"
"489","3","在游戏中“强行攻击指定目标”的快捷键是什么？","Shift+A","Ctrl+A","Alt+A","Alt+Ctrl+A"
"490","1","在游戏中“交易”的快捷键是什么？","Alt+X","Ctrl+X","Shift+X","Alt+Ctrl+X"
"491","2","在游戏中“给予”的快捷键是什么？","Alt+Ctrl+G","Alt+G","Ctrl+G","Shift+G"
"492","3","在游戏中打开“技能”栏的快捷键是什么？","Ctrl+V","Alt+Ctrl+V","Alt+V","Shift+V"
"493","3","在游戏中打开“物品”栏的快捷键是什么？","Ctrl+E","Alt+Ctrl+E","Alt+E","Shift+E"
"494","1","在游戏中打开“系统界面”的快捷键是什么？","Alt+S","Alt+Ctrl+S","Ctrl+S","Shift+S"
"495","3","三横三坚是什么字？","丰","土","田","心"
"496","2","1到100的100个数字中,共有多少个9字呢？","19","20","21","22"
"497","4","猴子每分钟能掰1个玉米，在果园里，一只猴子5分钟能掰几个玉米？","1","2","3","0"
"498","2","古代说的五胡指匈奴、羯、氐、羌和什么？","藏","鲜卑","蒙","朝"
"499","2","三国演义里“木牛流马”是谁制造的？","周瑜","诸葛亮","张飞","曹操"
"500","3","被称为“国际土木工程历史古迹”的是？","卢沟桥","安平桥","赵州桥","广济桥"
